sherdogId,name,beatUFCBound,lostToUFCBound,topMultiplier,lastDate,notableWins
Leonard-Smith-71432,Leonard Smith,1,1,0.35,2019-11-30,beat Brodie Farber (2012-09-22)
Sergei-Andreev-90009,Sergei Andreev,1,1,0.55,2019-11-28,beat Elves Brener (2019-11-28)
Derick-Garcia-Borges-232383,Derick Garcia Borges,1,0,0.55,2019-11-23,beat Matheus Camilo (2019-11-23)
Anthony-Newton-224221,Anthony Newton,1,0,0.35,2019-11-23,beat Charlie Campbell (2019-11-23)
Pietro-Penini-177121,Pietro Penini,1,0,0.68,2019-11-23,beat Charlie Ward (2019-11-23)
Luis-Felipe-Dias-257975,Luis Felipe Dias,1,0,0.55,2019-11-23,beat Wendell Oliveira Marques (2019-11-23)
Salvador-Becerra-148809,Salvador Becerra,1,0,0.35,2019-11-22,beat Ignacio Bahamondes (2019-11-22)
Mojtaba-Najim-Wali-113323,Mojtaba Najim Wali,1,2,0.55,2019-11-22,beat Chris Dempsey (2012-09-08)
Colin-Wright-65409,Colin Wright,1,2,0.35,2019-11-15,beat Jesse Butler (2019-11-15)
Rex-de-Lara-72253,Rex de Lara,1,1,0.35,2019-11-15,beat Rocky Lee (2018-07-07)
Aslambek-Saidov-31709,Aslambek Saidov,1,1,0.35,2019-11-15,beat Roan Carneiro (2018-02-23)
