normalized_name,source,canonical_id
kevin christian,ufc,efeef5927cfc6ed9
jacob malkoun,ufc,2a935daad3c30a59
gerald meerschaert,ufc,cbb08748dd6bbe66
colby thicknesse,ufc,a27631e299d32a0d
vince morales,ufc,19054dc278194e7b
ben johnston,ufc,a8065701ae14b346
wes schultz,ufc,019629d59f9a2c45
jonathan micallef,ufc,2e1c90b87a8c1a79
themba gorimbo,ufc,fac4af1fb11deb16
dom mar fan,ufc,4391524b4ad67007
kody steele,ufc,d0867cbe48a86c11
aljamain sterling,ufc,9cbf77b62e6769c8
youssef zalal,ufc,645456ef09c3ad72
norma dumont,ufc,79c76b8be6876e54
joselyne edwards,ufc,651799fdf8054334
rafa garcia,ufc,0c24350dc36661c6
alexander hernandez,ufc,708c9a266a7807ba
davey grant,ufc,f27c5b17ac15dad0
adrian luna martinetti,ufc,d7ca352f5592a010
montel jackson,ufc,960a493831029685
raoni barcelos,ufc,b629ea51b007a50f
marcus buchecha,ufc,55d5cc818221cbf5
ryan spann,ufc,a987d4a821166828
rodolfo vieira,ufc,09d3fd4e11dd462b
eric mcconico,ufc,cfceff9b0a52347d
jackson mcvey,ufc,c88287c8ff62d1e7
sedriques dumas,ufc,b9b0cb0b8a752fa3
mayra bueno silva,ufc,45b16cfb5fe8e1ce
michelle montague,ufc,f1e147aea98607af
jafel filho,ufc,ef6f7cfd5d5972b3
cody durden,ufc,a242f92577351a3c
francis marshall,ufc,d04397fab633dfbf
lucas brennan,ufc,3a27b01f0d23a3c9
max griffin,ufc,c2ada31c1abf0ee0
victor valenzuela,ufc,2997111b0c357386
talita alencar,ufc,57931677b95d6279
julia polastri,ufc,1be2a80e36f38a46
gilbert burns,ufc,68c94eeac2a44ac3
mike malott,ufc,b1cff96c18589464
kyler phillips,ufc,ce34ff82b87a876a
charles jourdain,ufc,d05aa9da9807a6ee
mandel nallo,ufc,968f595eff08ecaa
jai herbert,ufc,f00ed05472a7e699
jasmine jasudavicius,ufc,8652f0cd3584afd1
karine silva,ufc,06b4c878c2624c4d
thiago moises,ufc,cd82f793b5e03e41
gauge young,ufc,858da0d25b30d9c6
dennis buzukja,ufc,bd565805394ade24
marcio barbosa,ufc,511c563e58695e67
julien leblanc,ufc,3428d93a94413bec
robert valentin,ufc,1e98be9c8709b029
tanner boser,ufc,b1ef5cbd50ee7312
gokhan saricam,ufc,dad588f3f326aac8
melissa croden,ufc,d2bf67f8a51c9545
daria zhelezniakova,ufc,d2806a494d582f8d
jj aldrich,ufc,1fdd3b0f7c74e3b8
jameylyn horth,ufc,9dffb743981ffe24
john castaneda,ufc,86a2f8b96a00ac43
mark vologdin,ufc,ce6422307efdf762
jamie siraj,ufc,1b0adbf6ddcc1508
john yannis,ufc,aa2eba7c7b37e442
jiri prochazka,ufc,d649fe1ea4499ea7
carlos ulberg,ufc,6a36f7b99dfc0313
azamat murzakanov,ufc,75591a46f79bc859
paulo costa,ufc,7b6300b29d5151e8
