canonical_id,fullName,nickname,weightClass,gender,W,L,D,fightCount,height,stance,sherdogId,aliases
82f6e457486ac939,David Kaplan,,Lightweight,Male,0,2,0,2,"5' 7""",Orthodox,David-Kaplan-13848,David Kaplan
24493a2ea8f998c9,David Bielkheden,,Lightweight,Male,1,2,0,3,"5' 10""",Orthodox,David-Bielkheden-3863,David Bielkheden
41fbfa5393ce853c,Ryo Chonan,,Welterweight,Male,1,3,0,4,"5' 9""",Orthodox,Ryo-Chonan-1831,Ryo Chonan
18907581352ffcfd,Carmelo Marrero,,Light Heavyweight,Male,1,3,0,4,"6' 0""",Orthodox,Carmelo-Marrero-12855,Carmelo Marrero
1486c737d0e4913c,Junie Browning,,Lightweight,Male,1,1,0,2,"5' 9""",Orthodox,Junie-Allen-Browning-28041,Junie Browning
b082f2220ebdaea3,Matt Horwich,,Middleweight,Male,0,2,0,2,"6' 1""",Orthodox,Matt-Horwich-8654,Matt Horwich
14a27b01c7d764db,Jesse Sanders,,Welterweight,Male,0,1,0,1,"6' 0""",Orthodox,,Jesse Sanders
0ecc9d0067ae3d11,Nissen Osterneck,,Middleweight,Male,0,1,0,1,"6' 2""",Orthodox,Nissen-Osterneck-17591,Nissen Osterneck
8e222c8214b6cdc5,Joe Vedepo,,Middleweight,Male,0,2,0,2,"6' 0""",Orthodox,Joe-Vedepo-15833,Joe Vedepo
cff146ae7747d62f,Tim McKenzie,,Middleweight,Male,0,1,0,1,"6' 0""",Orthodox,Tim-McKenzie-3089,Tim McKenzie
6391ee518b78255e,Pete Sell,,Middleweight,Male,2,5,0,7,"5' 11""",Orthodox,Pete-Sell-7795,Pete Sell
20c7a4cb4c54a1d0,Ryan Madigan,,Welterweight,Male,0,1,0,1,"6' 0""",Orthodox,Ryan-Madigan-16551,Ryan Madigan
f370e66c852108d5,Jason Day,,Middleweight,Male,1,2,0,3,"6' 0""",Orthodox,Jason-Day-6811,Jason Day
8e26ae5654bd4faf,Michael Patt,,Light Heavyweight,Male,0,2,0,2,"6' 0""",Orthodox,Michael-Patt-3506,Michael Patt
f2bf0b6ffa5f14d5,Brian Cobb,,Lightweight,Male,0,1,0,1,"5' 11""",Orthodox,Brian-Cobb-5739,Brian Cobb
b2fc233c6163bbe4,Per Eklund,,Lightweight,Male,1,2,0,3,"5' 10""",Orthodox,Per-Eklund-3707,Per Eklund
06da25dae5f2f433,Neil Grove,,Heavyweight,Male,0,1,0,1,"6' 6""",Orthodox,Neil-Grove-23219,Neil Grove
694aa324f51e960b,Troy Mandaloniz,,Welterweight,Male,1,1,0,2,"5' 9""",Orthodox,Troy-Mandaloniz-12096,Troy Mandaloniz
f7cce87c4f21f6ee,Luigi Fioravanti,,Welterweight,Male,4,5,0,9,"5' 8""",Orthodox,Luigi-Fioravanti-12199,Luigi Fioravanti
